location,english,german,farsi
meta.description,"An interactive story for the fourth anniversary of Jina Amini’s death and the Woman, Life, Freedom movement.","Eine interaktive Geschichte zum vierten Jahrestag des Todes von Jina Amini und der Bewegung Frau, Leben, Freiheit.","روایتی تعاملی برای چهارمین سالگرد جان‌باختن ژینا امینی و جنبش زن، زندگی، آزادی."
accessibility.skip,Skip to the story,Zur Geschichte springen,رفتن به روایت
accessibility.navigation,Story navigation,Navigation der Geschichte,پیمایش روایت
accessibility.language,Choose language,Sprache wählen,انتخاب زبان
language.en,EN,EN,EN
language.de,DE,DE,DE
language.fa,FA,FA,FA
nav.jina,Jina,Jina,ژینا
nav.words,Three words,Drei Wörter,سه واژه
nav.timeline,Timeline,Zeitleiste,گاه‌شمار
nav.gathering,Vienna,Wien,وین
nav.groups,Groups,Gruppen,گروه‌ها
nav.about,About,Über,درباره
nav.program,Program,Programm,برنامه
nav.location,Location,Ort,مکان
nav.contact,Contact us,Kontakt,تماس با ما
common.four_years,FOUR YEARS ON,VIER JAHRE DANACH,چهار سال بعد
common.event_line,Vienna · 15 September 2026 · 14:00–19:00,Wien · 15. September 2026 · 14:00–19:00,وین · ۱۵ سپتامبر ۲۰۲۶ · ۱۴:۰۰ تا ۱۹:۰۰
common.begin,Begin the story,Geschichte beginnen,آغاز روایت
hero.memory,Memory,Erinnerung,یاد
hero.solidarity,Solidarity,Solidarität,پیوند
hero.resistance,Resistance,Widerstand,مقاومت
hero.purpose,"4th Anniversary of the “Woman, Life, Freedom” Movement and Commemoration of Jina (Mahsa) Amini","4. Jahrestag der Bewegung „Frau, Leben, Freiheit“ und Gedenken an Jina (Mahsa) Amini","چهارمین سالگرد جنبش «زن، زندگی، آزادی» و بزرگداشت ژینا (مهسا) امینی"
hero.purpose_line_1,4th Anniversary of the,4. Jahrestag der Bewegung,چهارمین سالگرد جنبش
hero.purpose_line_2,"“Woman, Life, Freedom” Movement","„Frau, Leben, Freiheit“","«زن، زندگی، آزادی»"
hero.purpose_line_3,and Commemoration of Jina (Mahsa) Amini,und Gedenken an Jina (Mahsa) Amini,و یادبود ژینا (مهسا) امینی
common.continue,Continue,Weiter,ادامه
jina.kicker,01 · A death that lives on,"01 · Ein Tod, der weiterlebt",۰۱ · مرگی جاودانه
jina.title,Her name was Jina.,Ihr Name war Jina.,نامش ژینا بود.
jina.lead,"In September 2022, Jina (Mahsa) Amini, a young woman from Iran's Kurdish minority, travelled to Tehran with her brother. During the trip, she was violently arrested and beaten by the “morality police”, also known as the “Guidance Patrol”, over what was described as “improper hijab”, and taken to the Vozara detention centre.","Im September 2022 reiste Jina (Mahsa) Amini, eine junge Frau aus der kurdischen Minderheit Irans, mit ihrem Bruder nach Teheran. Während der Reise wurde sie wegen eines angeblich „unangemessenen Hidschabs“ von der sogenannten „Sittenpolizei“, auch „Gascht-e Erschad“ genannt, unter Gewaltanwendung und Schlägen festgenommen und in die Haftanstalt Vozara gebracht.","در سپتامبر ۲۰۲۲، ژینا (مهسا) امینی، دختری جوان از اقلیت کردِ ایران، به همراه برادرش به تهران سفر کرد و در حینِ سفر، به دلیل آنچه «حجاب نامناسب» نامیده شد، توسط پلیس «امنیت اخلاقی»، یا «گشت ارشاد»، با اعمال زور و ضرب و شتم، بازداشت و به بازداشتگاه وزرا منتقل شد."
jina.body,"A few hours after her arrest, she fell into a coma due to injuries to her head and was taken by ambulance to Kasra Hospital in Tehran. Jina's heart stopped on 16 September, but her name became a symbol of people standing together across Iran.","Wenige Stunden nach ihrer Festnahme fiel sie aufgrund von Kopfverletzungen ins Koma und wurde mit dem Krankenwagen in das Kasra-Krankenhaus in Teheran gebracht. Am 16. September hörte Jinas Herz auf zu schlagen; doch ihr Name wurde zum Symbol dafür, dass die Menschen im ganzen Iran Seite an Seite standen.","چند ساعت پس از بازداشت، به دلیل آسیب‌های وارده به ناحیه سر، به کما رفت و با آمبولانس به بیمارستانِ کسرا در تهران منتقل شد. قلب ژینا در تاریخ 16 سپتامبر ایستاد، اما نام او رمزی شد برای در کنارِ هم ایستادن مردم در سراسرِ ایران."
jina.name_title,Jina means life.,Jina bedeutet Leben.,"ژینا، در کردی به معنایِ زندگی‌‌ست."
jina.name_body,"Her gravestone bears these words in Kurdish:
«ژینا گیان تو نامری، ناوت ئه‌بیته ره‌مز»
In English: “Dear Jina, you will not die; your name will become a symbol.”","Auf ihrem Grabstein stehen auf Kurdisch die Worte:
«ژینا گیان تو نامری، ناوت ئه‌بیته ره‌مز»
Auf Deutsch: „Liebe Jina, du wirst nicht sterben; dein Name wird zum Symbol.“","بر سنگ قبر او به کردی او نوشته شد:
«ژینا گیان تو نامری، ناوت ئه‌بیته ره‌مز»
ترجمه آن به فارسی: ژینا جان تو نمیمیری، نامت یک رمز می‌شود."
slogan.kicker,02 · A slogan that sparked a movement,"02 · Ein Slogan, der eine Bewegung auslöste",۰۲ شعاری که آغازگر یک جنبش شد
slogan.title,Jin. Jiyan. Azadî.,Jin. Jiyan. Azadî.,ژن. ژیان. ئازادی.
slogan.origin,"At Jina's funeral in Saqqez on 17 September, the chant “Jin, Jiyan, Azadî” — Woman, Life, Freedom — rang out. Its Persian translation, “Zan, Zendegi, Azadi”, quickly became one of the most important slogans heard in streets across Iran, and before long it was echoing in other countries as well.","Bei Jinas Beerdigung in Saqqez am 17. September erklang der Ruf „Jin, Jiyan, Azadî“ – Frau, Leben, Freiheit. Seine persische Übersetzung, „Zan, Zendegi, Azadi“, wurde rasch zu einer der wichtigsten Parolen auf den Straßen im ganzen Iran und hallte schon bald auch in anderen Ländern wider.","در مراسم خاکسپاری ژینا در سقز، در ۱۷ سپتامبر، شعار «ژن، ژیان، ئازادی» ـ زن، زندگی، آزادی ـ سر داده شد. ترجمه فارسی این شعار، زن، زندگی، آزادی، به سرعت تبدیل به یکی از مهم ترین شعارهای خیابان‌های سراسر ایران شد و دیری نگذشت که در سایر کشورها نیز طنین انداخت."
words.kicker,"03 · Three words, one horizon","03 · Drei Wörter, ein Horizont","۰۳  سه واژه، یک افق"
words.title,Not a slogan to observe. A future to inhabit.,Kein Slogan zum Betrachten. Eine Zukunft zum Leben.,نه شعاری برای تماشا؛ آینده‌ای برای زیستن.
words.woman.title,Woman,Frau,زن
words.woman.body,"No emancipatory idea can remain silent on the question of women. As the first word of the slogan, “Woman” places this question at the forefront.",Keine emanzipatorische Idee kann zur Frauenfrage schweigen. Als erstes Wort des Slogans rückt „Frau“ diese Frage ins Zentrum.,"هیچ ایده رهایی‌بخشی نمی‌تواند در مورد مساله زنان سکوت کند. زن، کلمه اولِ این شعار مساله زنان را در صدر قرار می‌دهد."
words.life.title,Life,Leben,زندگی
words.life.body,Liberation is born of thinking about life.,Befreiung entsteht aus dem Nachdenken über das Leben.,رهایی از دلِ اندیشیدن به زندگی زاده می‌شود.
words.freedom.title,Freedom,Freiheit,آزادی
words.freedom.body,Nothing should take freedom away.,Nichts darf die Freiheit beschneiden.,هیچ‌چیزی نباید آزادی را سلب کند.
importance.kicker,04 · Why it matters,04 · Warum es wichtig ist,۰۴  چرا مهم است
importance.title,Because freedom is measured in everyday life.,Weil Freiheit sich im Alltag zeigt.,زیرا آزادی در زندگی روزمره سنجیده می‌شود.
importance.body,"Because women’s issues are central to this movement, it marks a turning point in Iranian women’s long and organized struggle. The movement made women’s issues in Iran a major subject of discussion in both public and private spheres and brought about a revolution in how Iran’s traditional society thinks about women.
Although it is still not possible to say that women’s issues in Iran have been resolved, the movement’s potential gives us hope that resolving them — and reclaiming life — is possible. We believe that the Woman, Life, Freedom movement has not ended; on the contrary, it is a sapling that is growing stronger.","Da die Frauenfrage im Zentrum dieser Bewegung steht, markiert sie einen Wendepunkt in den historisch gewachsenen und organisierten Kämpfen der Frauen im Iran. Die Bewegung machte die Frauenfrage im Iran zu einem wichtigen Thema in öffentlichen wie privaten Kreisen und bewirkte eine Revolution in der Art und Weise, wie die traditionelle iranische Gesellschaft über Frauen denkt.
Auch wenn noch nicht gesagt werden kann, dass die Frauenfrage im Iran gelöst ist, geben uns die Potenziale dieser Bewegung Hoffnung darauf, dass eine Lösung — und die Rückeroberung des Lebens — möglich sind. Wir sind überzeugt, dass die Bewegung Frau, Leben, Freiheit nicht beendet ist; im Gegenteil: Sie ist ein Setzling, der immer kräftiger heranwächst.","به‌دلیل مرکزیتِ مساله زنان در این جنبش، این جنبش نقطه عطفی در مبارزاتِ تاریخی و ساختارمندِ زنان ایران به‌حساب می‌آید. این جنبش، مساله زنان در ایران را به یکی از بحث‌های مهم در محافل عمومی و خصوصی تبدیل کرد و موفق شد انقلابی را در نوعِ اندیشیدنِ جامعه سنتی ایران به مساله زنان رقم بزند.
اگرچه هنوز نمی‌توان گفت که مساله زنان در ایران حل شده است، اما پتانسیل‌های این جنبش ما را به امکان‌پذیر بودنِ حلِ مساله زنان، و بازپس‌گیری زندگی امیدوار می‌کند. ما اعتقاد داریم که نه تنها جنبشِ زن، زندگی، آزادی به پایان نرسیده است، بلکه اتفاقاً این جنبش نهالی است که در حالِ تنومندشدن است. "
importance.voice.title,Voice,Stimme,صدا
importance.voice.body,People claimed the right to tell their own stories.,"Menschen beanspruchten das Recht, ihre eigenen Geschichten zu erzählen.",مردم حق روایت کردن داستان خود را طلب کردند.
importance.solidarity.title,Solidarity,Solidarität,همبستگی
importance.solidarity.body,A Kurdish cry became a shared language without losing the importance of its roots.,"Ein kurdischer Ruf wurde zu einer gemeinsamen Sprache, ohne dass seine Wurzeln an Bedeutung verlieren.","فریادی کُردی به زبانی مشترک بدل شد، بی‌آنکه اهمیت ریشه‌هایش از میان برود."
importance.future.title,Future,Zukunft,آینده
importance.future.body,"The movement asks not only what must end, but what kind of life can begin.","Die Bewegung fragt nicht nur, was enden muss, sondern auch, welches Leben beginnen kann.",جنبش فقط نمی‌پرسد چه باید پایان یابد؛ می‌پرسد چه نوع زندگی می‌تواند آغاز شود.
timeline.kicker_compact,03 · A movement in time,03 · Eine Bewegung in der Zeit,۰۳  جنبشی در گذر زمان
timeline.title,From one name to millions of voices.,Von einem Namen zu Millionen Stimmen.,از یک نام تا میلیون‌ها صدا.
